SampleName,Sample Description,Sample.ID,Phenotype,Pair,Time,Extraction ID
ELS1,M-201 | 2019-12-04,M201,Bleach,Pair 9,December,2
ELS10,M-220 | 2019-12-04,M220,NotBleached,Pair 14,December,24
ELS11,M-12 | 2019-12-04,M12,NotBleached,Pair 2,December,25
ELS12,M-222 |  2019-12-04,M222,NotBleached,Pair 15,December,26
ELS13,M-221 | 2019-12-04,M221,Bleach,Pair 15,December,28
ELS14,M-19 | 2019-12-04,M19,Bleach,Pair 3,December,29
ELS15,M-204 | 2019-12-04,M204,NotBleached,Pair 10,December,30
ELS16,M-203 | 2019-12-04,M203,Bleach,Pair 10,December,31
ELS17,M-211 | 2019-12-04,M211,Bleach,Pair 12,December,32
ELS18,M-218 | 2019-12-04,M218,NotBleached,Pair 13,December,33
ELS19,M-210 | 2019-12-04,M210,NotBleached,Pair 11,December,34
ELS2,M-11 | 2019-12-04,M11,Bleach,Pair 2,December,4
ELS20,M-3 | 2019-12-04,M3,Bleach,Pair 1,December,35
ELS21,M-219 | 2019-07-20,M219,Bleach,Pair 14,July,37
ELS22,M-203 | 2019-07-20,M203,Bleach,Pair 10,July,38
ELS23,M-212 | 2019-07-20,M212,NotBleached,Pair 12,July,39
ELS24,M-209 | 2019-07-20,M209,Bleach,Pair 11,July,40
ELS25,M-3 | 2019-07-20,M3,Bleach,Pair 1,July,41
ELS26,M-222 | 2019-07-20,M222,NotBleached,Pair 15,July,42
ELS27,M-210 | 2019-07-20,M210,NotBleached,Pair 11,July,43
ELS28,M-201 | 2019-07-20,M201,Bleach,Pair 9,July,44
ELS29,M-11 | 2019-07-20,M11,Bleach,Pair 2,July,45
ELS3,M-202 | 2019-12-04,M202,NotBleached,Pair 9,December,6
ELS30,M-202 | 2019-07-20,M202,NotBleached,Pair 9,July,46
ELS31,M-217 | 2019-07-20,M217,Bleach,Pair 13,July,47
ELS32,M-204 | 2019-07-20,M204,NotBleached,Pair 10,July,50
ELS33,M-221 | 2019-07-20,M221,Bleach,Pair 15,July,51
ELS34,M-211 | 2019-07-20,M211,Bleach,Pair 12,July,52
ELS35,M-220 | 2019-07-20,M220,NotBleached,Pair 14,July,53
ELS36,M-4 | 2019-07-20,M4,NotBleached,Pair 1,July,54
ELS37,M-12 | 2019-07-20,M12,NotBleached,Pair 2,July,55
ELS38,M-218 | 2019-07-20,M218,NotBleached,Pair 13,July,56
ELS39,M-19 | 2019-07-20,M19,Bleach,Pair 3,July,57
ELS4,M-217 | 2019-12-04,M217,Bleach,Pair 13,December,16
ELS40,M-20 | 2019-07-20,M20,NotBleached,Pair 3,July,59
ELS5,M-212 | 2019-12-04,M212,NotBleached,Pair 12,December,17
ELS6,M-4 | 2019-12-04,M4,NotBleached,Pair 1,December,18
ELS7,M-20 | 2019-12-04,M20,NotBleached,Pair 3,December,21
ELS8,M-209 | 2019-12-04,M209,Bleach,Pair 11,December,22
ELS9,M-219 | 2019-12-04,M219,Bleach,Pair 14,December,23
